Prob_Size,Circ_Gen_Time,Toff_Decomp_Time,CliffT_Decomp_Time,Write_Out_Toff_Time,Write_Out_CliffT_Time,Ttl_Qubits,Anc_Qubits,Ctl_Qubits,Circ_Depth_Toff,Circ_Depth_cliffT
8,0.0019063949584960938,0.18665790557861328,2.6927297115325928,4.76837158203125e-07,1.3076860904693604,17,4,4,1175,46944
16,0.0026366710662841797,0.6804344654083252,7.9964635372161865,1.1920928955078125e-06,4.461893558502197,27,5,5,4157,163395
32,0.003323078155517578,3.041196823120117,25.37805724143982,9.5367431640625e-07,17.116876363754272,45,6,6,15441,609417
64,0.008713483810424805,20.017871141433716,416.39137268066406,4.76837158203125e-07,76.54981899261475,79,7,7,69917,2780558
